店舗ID,店舗_名称,店舗_名称_カナ,店舗_概要,店舗_所在地,店舗_所在地_郵便番号,店舗_所在地_全国地方公共団体コード,店舗_所在地_都道府県名,店舗_所在地_郡名,店舗_所在地_市区町村名,店舗_所在地_行政区名,店舗_所在地_町域名以降,店舗_所在地_建物名,店舗_所在地_緯度,店舗_所在地_経度,店舗_業態_産業分類コード,店舗_業態_産業分類名,店舗_画像,店舗_タグ,店舗_営業時間,店舗_定休日,店舗_電話番号,店舗_FAX番号,店舗_メールアドレス,店舗_Webサイト,店舗_地図,店舗_Twitter,店舗_Facebookページ,店舗_インスタグラム,店舗_LINE,店舗_テイクアウト対応フラグ,店舗_デリバリー対応フラグ,店舗_閉店フラグ,店舗_登録日,店舗_最終更新日,店舗_補足
F0001,浜松料理　宿下吉庵,ハママツリョウリヤドシタキチアン,,静岡県浜松市中区板屋町111-2　浜松アクトタワー5階,4307705,221309,静岡県,,浜松市,中区,板屋町111-2,浜松アクトタワー5階,34.705231,137.735788,7621,日本料理店,,,,,(053)459-2080,,,http://www.jinen-g.jp/yadoshita/,,,,,,,,,2020-08-11,,
F0002,浜松料理　じねん,ハママツリョウリジネン,,静岡県浜松市中区田町323-4,4300944,221309,静岡県,,浜松市,中区,田町323-4,,34.707463,137.730305,7621,日本料理店,,,,,(053)456-7025,,,http://www.jinen-g.jp/jinen/,,,,,,,,,2020-08-11,,
F0003,浜松料理　座房,ハママツリョウリザボウ,,静岡県浜松市中区田町323-6　Y2ビル5階,4300944,221309,静岡県,,浜松市,中区,田町323-6,Y2ビル5階,34.707347,137.730267,7621,日本料理店,,,,,(053)456-7257,,,http://www.jinen-g.jp/zabo/,,,,,,,,,2020-08-11,,
F0004,浜松料理　娯座樓,ハママツリョウリゴザロウ,,静岡県浜松市中区田町324-1,4300944,221309,静岡県,,浜松市,中区,田町324-1,,34.707524,137.730474,7621,日本料理店,,,,,(053)456-7028,,,http://www.jinen-g.jp/gozaro/,,,,,,,,,2020-08-11,,
F0005,はままつ地ビールレストラン　マイン・シュロス,ハママツジビールレストランマインシュロス,,静岡県浜松市中区中央3-8-1,4300929,221309,静岡県,,浜松市,中区,中央3-8-1,,34.707418,137.738075,7651,酒場，ビヤホール,,,,,(053)452-1146,,,http://www.meinschloss.jp,,,,,,,,,2020-08-11,,
F0006,酒場これだけ,サカバコレダケ,,静岡県浜松市中区田町326-34,4300944,221309,静岡県,,浜松市,中区,田町326-34,,34.707973,137.731083,7651,酒場，ビヤホール,,,,,(053)453-0833,,,http://www.koredake.jp/,,,,,,,,,2020-08-11,,
F0007,炭火バルMabuchi浜松店,スミビバルマブチハママツテン,,静岡県浜松市中区肴町317-7,4300932,221309,静岡県,,浜松市,中区,肴町317-7,,34.706960,137.729905,7651,酒場，ビヤホール,,,,,(053)450-8600,,,https://sumibi-bar-mabuchi.owst.jp/,,,,,,,,,2020-08-11,,
F0008,BASE,ベース,,静岡県浜松市中区伝馬町312-21　カメヤビル南館2階,4300935,221309,静岡県,,浜松市,中区,伝馬町312-21,カメヤビル南館2階,34.705557,137.728555,7661,バー，キャバレー，ナイトクラブ,,,,,(053)482-7395,,,http://idct-base.com/,,,,,,,,,2020-08-11,,
F0009,和牛と魚貝おへそ,ワギュウトギョカイオヘソ,,静岡県浜松市中区肴町318-27 2f,4300932,221309,静岡県,,浜松市,中区,肴町318-27,2f,34.706255,137.729180,7621,日本料理店,,,,,(053)456-1733,,,https://nbt1700.gorp.jp/,,,,,,,,,2020-08-13,,
F0010,浜松かきセンター,ハママツカキセンター,,静岡県浜松市中区肴町316-36　1F,4300932,221309,静岡県,,浜松市,中区,肴町316-36,1F,34.707126,137.729846,7651,酒場，ビヤホール,,,,,(053)482-9510,,,https://www.hotpepper.jp/strJ001153079/,,,,,,,,,2020-08-11,,
